model,problem type,build@1
deepseek-1.3b,dense_la,0.9199999999999999
deepseek-1.3b,fft,0.712
deepseek-1.3b,geometry,0.96
deepseek-1.3b,graph,0.9119999999999999
deepseek-1.3b,histogram,0.976
deepseek-1.3b,reduce,0.74
deepseek-1.3b,scan,0.9480000000000001
deepseek-1.3b,search,0.952
deepseek-1.3b,sort,0.9480000000000001
deepseek-1.3b,sparse_la,0.9279999999999999
deepseek-1.3b,stencil,0.9359999999999999
deepseek-1.3b,transform,1.0
,,
gppd-hpc-cuda-coder-1.3b-base-full-datasets,dense_la,0.9879999999999999
gppd-hpc-cuda-coder-1.3b-base-full-datasets,fft,0.6960000000000001
gppd-hpc-cuda-coder-1.3b-base-full-datasets,geometry,0.66
gppd-hpc-cuda-coder-1.3b-base-full-datasets,graph,0.8200000000000001
gppd-hpc-cuda-coder-1.3b-base-full-datasets,histogram,0.992
gppd-hpc-cuda-coder-1.3b-base-full-datasets,reduce,0.712
gppd-hpc-cuda-coder-1.3b-base-full-datasets,scan,0.728
gppd-hpc-cuda-coder-1.3b-base-full-datasets,search,1.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,sort,1.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,sparse_la,0.744
gppd-hpc-cuda-coder-1.3b-base-full-datasets,stencil,0.9400000000000001
gppd-hpc-cuda-coder-1.3b-base-full-datasets,transform,1.0
,,
gppd-hpc-cuda-coder-1.3b-base-hpc-only,dense_la,0.992
gppd-hpc-cuda-coder-1.3b-base-hpc-only,fft,0.496
gppd-hpc-cuda-coder-1.3b-base-hpc-only,geometry,0.41600000000000004
gppd-hpc-cuda-coder-1.3b-base-hpc-only,graph,0.5120000000000001
gppd-hpc-cuda-coder-1.3b-base-hpc-only,histogram,0.9960000000000001
gppd-hpc-cuda-coder-1.3b-base-hpc-only,reduce,0.6799999999999999
gppd-hpc-cuda-coder-1.3b-base-hpc-only,scan,0.644
gppd-hpc-cuda-coder-1.3b-base-hpc-only,search,0.9960000000000001
gppd-hpc-cuda-coder-1.3b-base-hpc-only,sort,0.8560000000000001
gppd-hpc-cuda-coder-1.3b-base-hpc-only,sparse_la,0.64
gppd-hpc-cuda-coder-1.3b-base-hpc-only,stencil,0.9960000000000001
gppd-hpc-cuda-coder-1.3b-base-hpc-only,transform,1.0
