model,build@1,build@5,build@10,build@20
deepseek-1.3b,0.9199999999999999,0.9999983008929751,1.0,1.0
deepseek-1.3b,0.712,0.7998785138477222,0.799999994431615,0.8
deepseek-1.3b,0.96,0.9999994336309918,1.0,1.0
deepseek-1.3b,0.9119999999999999,0.9997165323113519,0.9999999415319571,1.0
deepseek-1.3b,0.976,1.0,1.0,1.0
deepseek-1.3b,0.74,0.7999563895863618,0.7999999997858314,0.8
deepseek-1.3b,0.9480000000000001,1.0,1.0,1.0
deepseek-1.3b,0.952,0.999999339236157,1.0,1.0
deepseek-1.3b,0.9480000000000001,0.999925239290906,0.9999999987149881,1.0
deepseek-1.3b,0.9279999999999999,0.999925239290906,0.9999999987149881,1.0
deepseek-1.3b,0.9359999999999999,0.9999980177084711,1.0,1.0
deepseek-1.3b,1.0,1.0,1.0,1.0
,,,,
gppd-hpc-cuda-coder-1.3b-base-full-datasets,0.9879999999999999,1.0,1.0,1.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,0.6960000000000001,0.7937907077724706,0.7998965811690046,0.7999999990229838
gppd-hpc-cuda-coder-1.3b-base-full-datasets,0.66,0.9052266419981498,0.981591863141689,0.9997150132666238
gppd-hpc-cuda-coder-1.3b-base-full-datasets,0.8200000000000001,0.9923358001850138,0.9998357463483682,0.9999999962315093
gppd-hpc-cuda-coder-1.3b-base-full-datasets,0.992,1.0,1.0,1.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,0.712,0.7994157903679511,0.7999996213498178,0.8
gppd-hpc-cuda-coder-1.3b-base-full-datasets,0.728,0.8198110215409014,0.8399999805106525,0.8800000000000001
gppd-hpc-cuda-coder-1.3b-base-full-datasets,1.0,1.0,1.0,1.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,1.0,1.0,1.0,1.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,0.744,0.9934393701976628,0.9999672606607382,0.9999999999923912
gppd-hpc-cuda-coder-1.3b-base-full-datasets,0.9400000000000001,0.9999998112103305,1.0,1.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,1.0,1.0,1.0,1.0
,,,,
gppd-hpc-cuda-coder-1.3b-base-hpc-only,0.992,1.0,1.0,1.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,0.496,0.769460155940267,0.79742287773346,0.799994092931561
gppd-hpc-cuda-coder-1.3b-base-hpc-only,0.41600000000000004,0.6009838773622308,0.6387439545749762,0.679999041813647
gppd-hpc-cuda-coder-1.3b-base-hpc-only,0.5120000000000001,0.7666316147180426,0.8508248582602393,0.927837502145836
gppd-hpc-cuda-coder-1.3b-base-hpc-only,0.9960000000000001,1.0,1.0,1.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,0.6799999999999999,0.7988587664482999,0.7999982011974662,0.8
gppd-hpc-cuda-coder-1.3b-base-hpc-only,0.644,0.7644139024712568,0.7950510129925735,0.7999689879301518
gppd-hpc-cuda-coder-1.3b-base-hpc-only,0.9960000000000001,1.0,1.0,1.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,0.8560000000000001,0.9923795049934867,0.9998357465625368,0.9999999962315093
gppd-hpc-cuda-coder-1.3b-base-hpc-only,0.64,0.9408247276709018,0.9904055710749897,0.9998574641331107
gppd-hpc-cuda-coder-1.3b-base-hpc-only,0.9960000000000001,1.0,1.0,1.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,1.0,1.0,1.0,1.0
