model,problem type,pass@1,pass@5,pass@10,pass@20
gppd-hpc-cuda-coder-1.3b-base-full-datasets,dense_la,0.396,0.4,0.4,0.4
gppd-hpc-cuda-coder-1.3b-base-full-datasets,fft,0.008000000000000007,0.038367346938775505,0.07265306122448978,0.12897959183673469
gppd-hpc-cuda-coder-1.3b-base-full-datasets,geometry,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,graph,0.16,0.28438879344522267,0.33788738513104344,0.3865481696841549
gppd-hpc-cuda-coder-1.3b-base-full-datasets,histogram,0.38,0.586315580811418,0.5994150075279746,0.5999998724993966
gppd-hpc-cuda-coder-1.3b-base-full-datasets,reduce,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,scan,0.008000000000000007,0.039999999999999994,0.07999999999999999,0.16
gppd-hpc-cuda-coder-1.3b-base-full-datasets,search,0.4,0.4,0.4,0.4
gppd-hpc-cuda-coder-1.3b-base-full-datasets,sort,0.052000000000000005,0.15885357473239065,0.19321805484167492,0.19993250314209512
gppd-hpc-cuda-coder-1.3b-base-full-datasets,sparse_la,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-full-datasets,stencil,0.4200000000000001,0.8982662500707962,0.9875107332495455,0.9999320687542872
gppd-hpc-cuda-coder-1.3b-base-full-datasets,transform,0.792,0.8846702788423417,0.9378874435990863,0.9865481696841549
,,,,,
gppd-hpc-cuda-coder-1.3b-base-hpc-only,dense_la,0.396,0.42000000000000004,0.44000000000000006,0.48
gppd-hpc-cuda-coder-1.3b-base-hpc-only,fft,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,geometry,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,graph,0.08399999999999996,0.2065481696841549,0.2394150272314909,0.27999987249939656
gppd-hpc-cuda-coder-1.3b-base-hpc-only,histogram,0.524,0.6199544072948328,0.6399999997858312,0.6799999999999999
gppd-hpc-cuda-coder-1.3b-base-hpc-only,reduce,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,scan,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,search,0.4,0.4,0.4,0.4
gppd-hpc-cuda-coder-1.3b-base-hpc-only,sort,0.06000000000000005,0.16935641601691556,0.19642573160574758,0.19998621685784526
gppd-hpc-cuda-coder-1.3b-base-hpc-only,sparse_la,0.0,0.0,0.0,0.0
gppd-hpc-cuda-coder-1.3b-base-hpc-only,stencil,0.23600000000000007,0.5994864920991523,0.7430215436426406,0.8650535077045495
gppd-hpc-cuda-coder-1.3b-base-hpc-only,transform,0.776,0.7999994336309917,0.8,0.8
,,,,,
hpc-coder-v2-1.3b,dense_la,0.316,0.3997159659423436,0.39999994153195717,0.4
hpc-coder-v2-1.3b,fft,0.0,0.0,0.0,0.0
hpc-coder-v2-1.3b,geometry,0.0040000000000000036,0.019999999999999997,0.039999999999999994,0.08
hpc-coder-v2-1.3b,graph,0.07999999999999996,0.18654816968415489,0.19941502723149093,0.19999987249939657
hpc-coder-v2-1.3b,histogram,0.26000000000000006,0.5323986671449339,0.5906649864992899,0.5999265960811717
hpc-coder-v2-1.3b,reduce,0.0,0.0,0.0,0.0
hpc-coder-v2-1.3b,scan,0.0,0.0,0.0,0.0
hpc-coder-v2-1.3b,search,0.176,0.1999994336309917,0.2,0.2
hpc-coder-v2-1.3b,sort,0.13999999999999999,0.23778323170156127,0.27265268257430764,0.3289795918367347
hpc-coder-v2-1.3b,sparse_la,0.0,0.0,0.0,0.0
hpc-coder-v2-1.3b,stencil,0.48400000000000015,0.7268574071626801,0.8163701794691566,0.8788554779898977
hpc-coder-v2-1.3b,transform,0.8800000000000001,0.9999854631954539,1.0,1.0
,,,,,
hpc-coder-v2-6.7b,dense_la,0.376,0.39999943363099166,0.4,0.4
hpc-coder-v2-6.7b,fft,0.07200000000000002,0.18099114576450376,0.19874395457497623,0.199999041813647
hpc-coder-v2-6.7b,geometry,0.0,0.0,0.0,0.0
hpc-coder-v2-6.7b,graph,0.136,0.19958768336196644,0.19999984408521912,0.2
hpc-coder-v2-6.7b,histogram,0.776,0.8,0.8,0.8
hpc-coder-v2-6.7b,reduce,0.0040000000000000036,0.019999999999999997,0.039999999999999994,0.08
hpc-coder-v2-6.7b,scan,0.0,0.0,0.0,0.0
hpc-coder-v2-6.7b,search,0.21600000000000003,0.27060790273556234,0.3206339557099435,0.3762006079027356
hpc-coder-v2-6.7b,sort,0.172,0.19999801770847098,0.2,0.2
hpc-coder-v2-6.7b,sparse_la,0.0,0.0,0.0,0.0
hpc-coder-v2-6.7b,stencil,0.712,0.7989023768619381,0.7999982014116348,0.8
hpc-coder-v2-6.7b,transform,0.86,0.9949847080367762,0.9999363576424644,0.9999999997745347
